id,upso_num,upso_name,dong_name,address,area,tell_num,upjong,code,item,price,check_date,gu_name
3139,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,김치찌개 백반,5000,00:00.0,광진구
3140,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,냉면(물),5000,00:00.0,광진구
3141,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,비빔밥,5000,00:00.0,광진구
3142,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,칼국수,5000,00:00.0,광진구
3143,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,김밥,1500,00:00.0,광진구
3144,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,경양식,1.42E+12,돈가스,6000,00:00.0,광진구
3145,1.42E+12,참손산낙지와홍어,자양동,서울특별시 광진구 뚝섬로 476-14(자양4-2),,02-464-4002,한식,1.42E+12,삼겹살,12000,00:00.0,광진구
3146,1.42E+12,참손산낙지와홍어,자양동,서울특별시 광진구 뚝섬로 476-14(자양4-2),,02-464-4002,한식,1.42E+12,비빔밥,6000,00:00.0,광진구
3147,1.42E+12,참손산낙지와홍어,자양동,서울특별시 광진구 뚝섬로 476-14(자양4-2),,02-464-4002,한식,1.42E+12,칼국수,5000,00:00.0,광진구
3148,1.42E+12,청송식당,자양동,서울특별시 광진구 자양번영로6길 43 (자양동),,02-458-4126,한식,1.42E+12,된장찌개 백반,6000,00:00.0,광진구
3149,1.42E+12,청송식당,자양동,서울특별시 광진구 자양번영로6길 43 (자양동),,02-458-4126,한식,1.42E+12,김치찌개 백반,6000,00:00.0,광진구
3150,1.42E+12,싸리골,능동,서울특별시 광진구 능동로 300 (능동),,3436-9895,한식,1.42E+12,된장찌개 백반,7000,00:00.0,광진구
3151,1.42E+12,싸리골,능동,서울특별시 광진구 능동로 300 (능동),,3436-9895,한식,1.42E+12,삼겹살,14000,00:00.0,광진구
3152,1.42E+12,싸리골,능동,서울특별시 광진구 능동로 300 (능동),,3436-9895,한식,1.42E+12,김치찌개 백반,7000,00:00.0,광진구
3153,1.42E+12,싸리골,능동,서울특별시 광진구 능동로 300 (능동),,3436-9895,한식,1.42E+12,냉면(물),7000,00:00.0,광진구
3154,1.42E+12,실로암식당,중곡동,서울특별시 광진구 용마산로 171 (중곡동),,02-469-6568,한식,1.42E+12,냉면(물),7000,00:00.0,광진구
3155,1.42E+12,실로암식당,중곡동,서울특별시 광진구 용마산로 171 (중곡동),,02-469-6568,한식,1.42E+12,비빔밥,8500,00:00.0,광진구
3156,1.42E+12,실로암식당,중곡동,서울특별시 광진구 용마산로 171 (중곡동),,02-469-6568,경양식,1.42E+12,돈가스,8000,00:00.0,광진구
3157,1.42E+12,청산칡냉면,중곡동,서울특별시 광진구 긴고랑로 69(중곡동),,02-2201-8801,한식,1.42E+12,냉면(물),7000,00:00.0,광진구
3158,1.42E+12,청산칡냉면,중곡동,서울특별시 광진구 긴고랑로 69(중곡동),,02-2201-8801,한식,1.42E+12,칼국수,7000,00:00.0,광진구
3159,1.42E+12,우성식당,자양동,서울특별시 광진구 자양번영로 60-1 (자양동),,02-453-4636,한식,1.42E+12,된장찌개 백반,6000,00:00.0,광진구
3160,1.42E+12,우성식당,자양동,서울특별시 광진구 자양번영로 60-1 (자양동),,02-453-4636,한식,1.42E+12,삼겹살,11000,00:00.0,광진구
3161,1.42E+12,우성식당,자양동,서울특별시 광진구 자양번영로 60-1 (자양동),,02-453-4636,한식,1.42E+12,김치찌개 백반,6000,00:00.0,광진구
3162,1.42E+12,우성식당,자양동,서울특별시 광진구 자양번영로 60-1 (자양동),,02-453-4636,한식,1.42E+12,비빔밥,6000,00:00.0,광진구
3163,1.42E+12,치킨뱅이,중곡동,서울특별시 광진구 천호대로111길 10 (중곡동),,02-455-7074,기타음식업,1.42E+12,치킨,17000,00:00.0,광진구
3164,1.42E+12,카나리아,능동,서울특별시 광진구 천호대로112길 10 (능동),,02-446-9424,기타음식업,1.42E+12,치킨,14000,00:00.0,광진구
3165,1.42E+12,카나리아,능동,서울특별시 광진구 천호대로112길 10 (능동),,02-446-9424,경양식,1.42E+12,돈가스,10000,00:00.0,광진구
3166,1.42E+12,피자헛,구의동,서울특별시 광진구 구의강변로 51 (구의동),,02-455-5138,기타음식업,1.42E+12,피자,17950,00:00.0,광진구
3167,1.54E+12,유엔아이,자양동,서울특별시 광진구 뚝섬로 535 (자양동),,02-455-1393,경양식,1.42E+12,돈가스,8000,00:00.0,광진구
3168,1.42E+12,샤뜰레,구의동,서울특별시 광진구 광나루로56길 85 (구의동) 테크노마트 9층 40호,,,경양식,1.42E+12,돈가스,7500,00:00.0,광진구
3169,1.42E+12,도미노피자,자양동,서울특별시 광진구 아차산로 312 (자양동),,02-446-3083,기타음식업,1.42E+12,피자,24900,00:00.0,광진구
3170,1.42E+12,비비큐B.B.Q,군자동,서울특별시 광진구 군자로 102 (군자동),,02-498-7883,기타음식업,1.42E+12,치킨,16000,00:00.0,광진구
3171,1.52E+12,복만루,자양동,서울특별시 광진구 아차산로 352 (자양동 이화빌라),,02-456-1778,중식,1.42E+12,자장면,5000,00:00.0,광진구
3172,1.52E+12,복만루,자양동,서울특별시 광진구 아차산로 352 (자양동 이화빌라),,02-456-1778,중식,1.42E+12,탕수육,20000,00:00.0,광진구
3173,1.52E+12,복만루,자양동,서울특별시 광진구 아차산로 352 (자양동 이화빌라),,02-456-1778,중식,1.42E+12,짬뽕,6000,00:00.0,광진구
3174,1.45E+12,달인,자양동,서울특별시 광진구 뚝섬로 590 (자양동 아주빌딩),,02-446-5088,중식,1.42E+12,자장면,5000,00:00.0,광진구
3175,1.45E+12,달인,자양동,서울특별시 광진구 뚝섬로 590 (자양동 아주빌딩),,02-446-5088,중식,1.42E+12,탕수육,22000,00:00.0,광진구
3176,1.45E+12,달인,자양동,서울특별시 광진구 뚝섬로 590 (자양동 아주빌딩),,02-446-5088,중식,1.42E+12,짬뽕,7000,00:00.0,광진구
3177,1.45E+12,산동관,자양동,서울특별시 광진구 뚝섬로30길 41 (자양동),,02-462-6660,중식,1.42E+12,자장면,5000,00:00.0,광진구
3178,1.45E+12,산동관,자양동,서울특별시 광진구 뚝섬로30길 41 (자양동),,02-462-6660,중식,1.42E+12,탕수육,15000,00:00.0,광진구
3179,1.45E+12,산동관,자양동,서울특별시 광진구 뚝섬로30길 41 (자양동),,02-462-6660,중식,1.42E+12,짬뽕,6000,00:00.0,광진구
3180,1.42E+12,명성손짜장,중곡동,서울특별시 광진구 긴고랑로9길 41 (중곡동),,02-463-6441,중식,1.42E+12,자장면,3500,00:00.0,광진구
3181,1.42E+12,명성손짜장,중곡동,서울특별시 광진구 긴고랑로9길 41 (중곡동),,02-463-6441,중식,1.42E+12,탕수육,16000,00:00.0,광진구
3182,1.42E+12,명성손짜장,중곡동,서울특별시 광진구 긴고랑로9길 41 (중곡동),,02-463-6441,중식,1.42E+12,짬뽕,4500,00:00.0,광진구
3183,1.42E+12,금비,구의동,서울특별시 광진구 자양로 254 (구의동),,02-457-0259,중식,1.42E+12,자장면,5000,00:00.0,광진구
3184,1.42E+12,금비,구의동,서울특별시 광진구 자양로 254 (구의동),,02-457-0259,중식,1.42E+12,탕수육,20000,00:00.0,광진구
3185,1.42E+12,금비,구의동,서울특별시 광진구 자양로 254 (구의동),,02-457-0259,중식,1.42E+12,짬뽕,6000,00:00.0,광진구
3186,1.42E+12,구의반점,구의동,서울특별시 광진구 자양로26길 98-1 (구의동),,02-457-7633,중식,1.42E+12,자장면,4000,00:00.0,광진구
3187,1.42E+12,구의반점,구의동,서울특별시 광진구 자양로26길 98-1 (구의동),,02-457-7633,중식,1.42E+12,탕수육,20000,00:00.0,광진구
3188,1.42E+12,구의반점,구의동,서울특별시 광진구 자양로26길 98-1 (구의동),,02-457-7633,중식,1.42E+12,짬뽕,5000,00:00.0,광진구
3189,1.42E+12,세종원,군자동,서울특별시 광진구 광나루로 373  (군자동),,02-499-1800,중식,1.42E+12,자장면,4500,00:00.0,광진구
3190,1.42E+12,세종원,군자동,서울특별시 광진구 광나루로 373  (군자동),,02-499-1800,중식,1.42E+12,탕수육,18000,00:00.0,광진구
3191,1.42E+12,세종원,군자동,서울특별시 광진구 광나루로 373  (군자동),,02-499-1800,중식,1.42E+12,짬뽕,5500,00:00.0,광진구
3192,1.42E+12,동화각,광장동,서울특별시 광진구 아차산로 635,,02-444-9671,중식,1.42E+12,자장면,6000,00:00.0,광진구
3193,1.42E+12,동화각,광장동,서울특별시 광진구 아차산로 635,,02-444-9671,중식,1.42E+12,탕수육,23000,00:00.0,광진구
3194,1.42E+12,동화각,광장동,서울특별시 광진구 아차산로 635,,02-444-9671,중식,1.42E+12,짬뽕,7000,00:00.0,광진구
3195,1.56E+12,대중관,중곡동,서울특별시 광진구 용마산로 115 (중곡동 길풍빌딩),,02-453-5356,중식,1.42E+12,자장면,5000,00:00.0,광진구
3196,1.56E+12,대중관,중곡동,서울특별시 광진구 용마산로 115 (중곡동 길풍빌딩),,02-453-5356,중식,1.42E+12,탕수육,22000,00:00.0,광진구
3197,1.56E+12,대중관,중곡동,서울특별시 광진구 용마산로 115 (중곡동 길풍빌딩),,02-453-5356,중식,1.42E+12,짬뽕,6500,00:00.0,광진구
